;ANO;NUTS_III;CODIGO_CONCELHO;Concelho;zona rqs;saifi at num;saidi at min;maifi at num;tiepi mt min;end mt mwh;saifi mt num;saidi mt min;maifi mt num;saifi bt num;saidi bt min;ligacao_auxiliar_mapa;codigo_concelho_sem_digitos;distrito
9394;2015;Beira Baixa;502;Castelo Branco;Zona C;0;0;0;26,6986;2,4285;1,03902;37,4279;17,2562;1,09508;40,7686;1;5;Castelo Branco
9395;2015;Douro;1701;Alijó;Concelho;0;0;0;193,539;14,2218;2,60768;159,95;21,6047;3,00545;190,234;1;17;Vila Real
9396;2015;Região de Leiria;1015;Pombal;Zona B;0;0;0;11,0598;1,1631;0,548077;26,4006;8,78846;0,521828;27,2311;1;10;Leiria
9397;2015;Tâmega e Sousa;1309;Paços de Ferreira;Concelho;0;0;0;53,9215;17,5736;0,833865;58,2874;7,03031;0,985799;61,862;1;13;Porto
9398;2015;Cávado;303;Braga;Zona A;0;0;1;24,2695;14,8553;0,584405;27,2229;2,1228;0,604894;30,3632;1;3;Braga
9399;2015;Alentejo Litoral;211;Odemira;Zona B;0;0;0;79,4297;1,26946;2,12;94,9067;9,88;2,70683;151,895;1;2;Beja
9400;2015;Área Metropolitana do Porto;1306;Maia;Concelho;0;0;0;29,2613;33,2898;1,32803;31,0175;4,35385;1,29751;35,2338;1;13;Porto
9401;2015;Área Metropolitana de Lisboa;1507;Montijo;Zona B;0;0;0;6,15435;1,30702;0,454922;5,79665;1,65954;0,370714;5,19187;1;15;Setúbal
9402;2015;Viseu Dão Lafões;1803;Castro daire;Zona A;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9403;2015;Algarve;812;São Brás de Alportel;Zona C;0;0;0;33,2019;1,10379;0,446222;41,628;5,39256;0,79759;60,3153;1;8;Faro
9404;2015;Ave;307;Fafe;Concelho;0;0;0;62,6033;16,1625;2,02832;64,9592;9,92101;2,06251;68,3924;1;3;Braga
9405;2015;Alto Alentejo;1202;Arronches;Concelho;0;0;0;80,3977;2,56218;0,777426;65,4138;20,5801;1,40288;92,5726;1;12;Portalegre
9406;2015;Região de Aveiro;102;Albergaria-a-Velha;Zona A;0;0;0;0;0;0;0;0;0;0;1;1;Aveiro
9407;2015;Área Metropolitana do Porto;1315;Valongo;Zona C;0;0;0;0;0;0;0;0;0;0;1;13;Porto
9408;2015;Região de Coimbra;602;Cantanhede;Zona C;1;408,633;0;76,2561;12,014;1,58626;94,1674;13,1042;1,92021;109,423;1;6;Coimbra
9409;2015;Região de Coimbra;605;Figueira da Foz;Zona B;0;0;0;0;0;0;0;0;0;0;1;6;Coimbra
9410;2015;Área Metropolitana do Porto;116;São João da Madeira;Zona A;0;0;0;0;0;0;0;0;0;0;1;1;Aveiro
9411;2015;Oeste;1112;Sobral de Monte Agraço;Concelho;0;0;0;62,3591;3,1565;2,19067;76,1115;8,14423;1,87374;61,1994;1;11;Lisboa
9412;2015;Viseu Dão Lafões;901;Aguiar da Beira;Zona C;0;0;0;128,839;4,73974;1,14141;124,914;16,6061;1,59542;164,26;1;9;Guarda
9413;2015;Alto Minho;1601;Arcos de Valdevez;Zona B;0;0;0;55,5844;1,13529;2,59477;57,3405;7,19935;2,67878;62,1489;1;16;Viana do Castelo
9414;2015;Área Metropolitana de Lisboa;1115;Amadora;Zona B;0;0;0;22,3854;5,59127;0,666667;26,7152;0,274074;0,713608;33,4898;1;11;Lisboa
9415;2015;Alto Alentejo;1213;Ponte de Sor;Zona C;0;0;0;162,373;8,40702;2,1466;142,75;11,7016;2,13011;197,561;1;12;Portalegre
9416;2015;Alto Alentejo;1214;Portalegre;Zona B;0;0;0;0;0;0;0;0;0;0;1;12;Portalegre
9417;2015;Viseu Dão Lafões;1814;Santa Comba Dão;Zona A;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9418;2015;Médio Tejo;510;Vila de Rei;Concelho;0;0;0;86,3776;2,62133;3,03125;93,9878;14,4062;3,47493;97,1543;1;5;Castelo Branco
9419;2015;Tâmega e Sousa;1303;Felgueiras;Zona A;0;0;0;0;0;0;0;0;0;0;1;13;Porto
9420;2015;Beiras e Serra da Estrela;909;Mêda;Concelho;0;0;0;52,7743;1,68477;5,32475;72,2102;32,0421;4,69233;76,7009;1;9;Guarda
9421;2015;Lezíria do Tejo;1416;Santarém;Zona C;0;0;0;127,825;42,0549;1,37391;87,2692;15,9501;1,28205;66,3256;1;14;Santarém
9422;2015;Alentejo Central;703;Borba;Zona C;0;0;0;14,7664;0,375275;0,450333;39,8036;10,8863;0,326694;31,0862;1;7;Évora
9423;2015;Alto Minho;1609;Viana do Castelo;Zona C;0;0;0;40,5862;11,6736;0,831924;50,3095;5,30895;0,929761;58,387;1;16;Viana do Castelo
9424;2015;Área Metropolitana do Porto;109;Santa Maria da Feira;Concelho;1;69,9458;1;93,6593;70,4249;1,34342;95,6886;6,53982;1,56392;97,1338;1;1;Aveiro
9425;2015;Área Metropolitana de Lisboa;1504;Barreiro;Zona B;0;0;0;40,0688;3,7175;2,01427;45,089;2,69204;1,2264;26,8661;1;15;Setúbal
9426;2015;Alentejo Central;714;Vila Viçosa;Zona C;0;0;0;65,7056;4,84222;2,04587;106,712;20,6055;2,48802;115,148;1;7;Évora
9427;2015;Algarve;810;Olhão;Zona C;0;0;0;72,156;7,86629;1,1296;72,0015;8,01033;1,41308;99,1959;1;8;Faro
9428;2015;Região de Aveiro;108;Estarreja;Zona B;0;0;0;7,36437;0,161515;1,86364;7,12651;6,54545;1,97835;8,47733;1;1;Aveiro
9429;2015;Médio Tejo;1421;Ourém;Concelho;0;0;0;60,0129;20,3947;2,14723;78,266;13,9909;1,92979;100,535;1;14;Santarém
9430;2015;Região de Coimbra;606;Góis;Concelho;0;0;2,5;145,854;3,38365;3,59;150,693;21,37;3,7965;155,512;1;6;Coimbra
9431;2015;Ave;314;Vizela;Zona A;0;0;0;0;0;0;0;0;0;0;1;3;Braga
9432;2015;Tâmega e Sousa;1305;Lousada;Zona C;0;0;0;26,2649;5,19151;0,935956;29,3834;6,23492;0,873357;32,2392;1;13;Porto
9433;2015;Região de Coimbra;617;Vila Nova de Poiares;Concelho;0;0;0;50,11;1,71843;6,02667;64,2504;18,6667;6,27768;74,1704;1;6;Coimbra
9434;2015;Beira Baixa;507;Penamacor;Zona C;0;0;0;123,939;4,3134;5,69286;146,772;32,9714;6,16173;134,37;1;5;Castelo Branco
